time,ride_id,segment_id,elevation,latitude,longitude,ambient_temp_C,heart_rate_bpm,cadence_rpm,is_original_row,elapsed_time,delta_time,delta_dist_ft,heading,speed,speed_saturated,is_cruising,delta_ele_ft,grade,grade_saturated,elapsed_ascent,elapsed_descent,elapsed_elevation,filt_ambient_temp_C,filt_heart_rate_bpm,filt_cadence_rpm,filt_speed,filt_speed_saturated,filt_grade,filt_grade_saturated,inst_power
2021-04-26 23:19:22+00:00,0x60874a7a,0.0,768.4102,40.038351,-83.094272,,,,True,1.0,1.0,0.0,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.698317818356793,0.698317818356793,0.0,0.0,1.706842912029063
2021-04-26 23:19:23+00:00,0x60874a7a,0.0,768.4102,40.038376,-83.094279,,,,True,2.0,1.0,9.32754133340014,105.64224644935643,6.359687272772824,6.359687272772824,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7382034799386642,0.7382034799386642,0.0,0.0,1.805372381795518
2021-04-26 23:19:24+00:00,0x60874a7a,0.0,768.4102,40.0383755,-83.09428,,,,,3.0,1.0,0.3335926301823332,206.565051177078,0.2274495205788636,0.2274495205788636,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7487607989537713,0.7487607989537713,0.0,0.0,1.8314807235021109
2021-04-26 23:19:25+00:00,0x60874a7a,0.0,768.4102,40.038375,-83.094281,,,,True,4.0,1.0,0.3335926301908264,206.565051177078,0.2274495205846544,0.2274495205846544,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7305355986157732,0.7305355986157732,0.0,0.0,1.786417265141106
2021-04-26 23:19:26+00:00,0x60874a7a,0.0,768.4102,40.038375,-83.09428199999999,,,,,5.0,1.0,0.2793060461036162,180.0,0.1904359405251929,0.1904359405251929,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6868911356731193,0.6868911356731193,0.0,0.0,1.6786462168107166
2021-04-26 23:19:27+00:00,0x60874a7a,0.0,768.4102,40.038375,-83.094283,,,,True,6.0,1.0,0.2793060496570088,180.0,0.1904359429479606,0.1904359429479606,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6230316941236886,0.6230316941236886,0.0,0.0,1.5213028947514875
2021-04-26 23:19:28+00:00,0x60874a7a,0.0,768.4102,40.0383745,-83.094284,,,,,7.0,1.0,0.3335926306366558,206.565051177078,0.2274495208886289,0.2274495208886289,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5467875282235796,0.5467875282235796,0.0,0.0,1.3339325649775742
2021-04-26 23:19:29+00:00,0x60874a7a,0.0,768.4102,40.038374,-83.094285,,,,True,8.0,1.0,0.3335926378643251,206.5650515027668,0.2274495258165853,0.2274495258165853,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.4672011953386897,0.4672011953386897,0.0,0.0,1.1388480973261432
2021-04-26 23:19:30+00:00,0x60874a7a,0.0,768.4102,40.038374,-83.094287,,,,True,9.0,1.0,0.5586120968458764,180.0,0.3808718842130975,0.3808718842130975,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3929952201322452,0.3929952201322452,0.0,0.0,0.9573469813675832
2021-04-26 23:19:31+00:00,0x60874a7a,0.0,768.4102,40.038373,-83.094289,,,,True,10.0,1.0,0.6671852770661385,206.5650510142336,0.4548990525450944,0.4548990525450944,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3324560390467864,0.3324560390467864,0.0,0.0,0.809512851679371
