total_distance_mi,total_weight_lbs,avg_cruising_speed,log_hours_since_last_ride,active_time_ratio,avg_climb_rate,distance_training_intensity,prior_training_load,year,best_power_4s,best_power_5s,best_power_10s,best_power_20s,best_power_30s,best_power_1m,best_power_2m,best_power_3m,best_power_4m,best_power_5m,best_power_6m,best_power_10m,best_power_20m,best_power_30m,best_power_40m,best_power_1h,best_power_2h
-0.24226930620316708,1.8087134289095834,0.28787663226641425,0.09186456350571588,1.2606738278062852,0.2745255143964369,0.9845464782571661,-1.1822706931027114,0.0,485.2822710293768,481.9918274262326,462.2835373380987,412.1443191907023,391.2443462345632,314.816769289388,209.5814720534043,186.63171839386817,179.63600600684896,157.5696414676274,155.0096642982426,142.3684861733059,134.4428497072949,130.26483885681677,0.0,0.0,0.0
-0.1512052161362905,1.8087134289095834,-1.345466560313971,-0.19932636808172766,0.5216090387579125,-0.00640103958116859,0.9845464782571661,0.21015972201530592,0.0,432.5493243905231,425.73580890007634,389.5024143287639,330.267900263114,299.1667317187864,225.9074726009001,143.79389965092977,147.59711263949168,129.79411803016495,118.28378496455623,115.81972866013842,107.25643508416628,98.405537069801,97.00079825792164,94.00389182194336,0.0,0.0
-0.35926800169816003,1.8087134289095834,0.37086894113546376,1.090765676512647,1.282578710955141,0.13651580238539696,0.49754450030479697,-1.1561166941326728,0.0,422.17795711799977,419.8146828376754,393.7095154034854,363.2631875002784,336.841737075026,271.4351981071159,215.16438379913328,187.6891235569384,188.53826203526785,164.69676905205264,157.2674988550704,154.6686597754477,139.4815122000962,138.60613981974453,0.0,0.0,0.0
-0.3000858166983761,1.8087134289095834,0.20888062704843705,-0.8223546190255271,1.1560197444521179,-0.12243974685867685,0.6360692301194295,0.4662333946792492,0.0,416.729571801876,414.7189657999928,393.12419814232544,327.4324925126267,295.3894332646188,231.95465942702083,191.95264383155103,182.99912233433497,175.94251033667527,169.92171764171667,170.18659803223247,156.1732437709715,143.04655585618062,137.23624177474812,0.0,0.0,0.0
-0.36081075872467566,1.8087134289095834,0.6844041947406011,0.9286555701019161,1.3879459808477417,0.24555681560828077,0.4939334474133147,-1.0907967114556343,0.0,419.6598724987082,414.650606898535,402.0525280066174,376.5485772655758,344.2722367405647,262.3299445920339,225.472466284606,193.51986840837688,187.96973939768503,181.34873126661964,173.97655378533307,167.16289769578236,150.94645751307266,151.02059922758454,0.0,0.0,0.0
-0.25341635628779763,1.8087134289095834,0.47649484653937374,-0.8360342782595922,1.2324558883479106,-0.20888931154381982,0.7453060620139208,0.525799091457851,0.0,436.8797628161472,433.3608153773841,400.68620154285753,321.7768884689183,304.0943075908484,259.7421374332244,185.9244720978328,170.90825669196855,168.78638521104355,166.2438147931103,166.81759756689652,160.8373739560166,140.6758707432649,135.79730970046282,0.0,0.0,0.0
-0.22521555081304995,1.8087134289095834,-1.2494746823421983,-0.44918263573986866,-0.41359944341484794,-1.096271808113703,0.8113142528057731,1.590435160202209,0.0,927.8572905161028,913.1839016582755,787.5992600804534,504.8778217973127,371.181144001515,228.02703291414684,143.71193970957893,140.27969019132115,136.3835293941883,128.36375731593134,120.45476714975092,106.5218155653865,92.97216909623916,91.61971756693194,86.80385309461002,0.0,0.0
-1.0334221890385016,1.8087134289095834,-1.0504616880972395,0.7529968231396634,-0.37245252781035587,-0.8739385437599154,0.9845464782571661,-0.8513710569714928,0.0,307.0969309519143,303.8851178567201,284.6867547561139,231.51878187756944,196.7135709218928,186.41221824254336,154.20926707089905,117.99203559599778,97.595666828088,88.98919847874998,83.72007343337094,71.64581925080765,0.0,0.0,0.0,0.0,0.0
-0.5320395200804912,1.8087134289095834,-0.061835725539224756,0.26038817451996243,0.7431628644422078,0.8729584981754881,0.9845464782571661,-0.3257283853341234,0.0,669.4154789605045,662.5797391092804,617.8533174410472,494.4525517716127,370.1224407455721,268.18612988708014,207.06720220481583,197.2292905319991,193.7027661229669,171.6887425512938,175.07195351940786,150.48614215708295,135.43235147198095,135.69729504481177,0.0,0.0,0.0
-0.540986282688744,1.8087134289095834,0.8481405741783125,-0.842511143397182,0.47919629134081004,0.25696727862668023,0.9552155524518878,1.4846798061774489,0.0,729.3024378929695,723.3543470346222,664.9290413898128,499.6732318928666,381.1556511463138,308.55601664045986,254.8625211015548,223.6678125920779,211.0959642742704,201.1249391562748,194.5029029076587,169.02243377856243,155.24273271022,0.0,0.0,0.0,0.0
